job_id,company_name,title,description,max_salary,pay_period,location,company_id,views,med_salary,min_salary,formatted_work_type,applies,original_listed_time,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,normalized_salary,zip_code,fips,source,company,salary_min,salary_max,country_code,extracted_skills,avg_salary
,,"Data Analyst, Revenue Operations","About FacilityOS FacilityOS is a fast-growing company redefining how facilities operate—bringing safety, security, and daily operations into one unified platform used by organizations around the world. As we continue to scale globally, we’re building a team of driven, curious people who want to make an impact. You’ll be part of a dynamic, collaborative culture where individuals are trusted to take ownership, solve meaningful problems, and grow in their careers. Our team comes together in-office…",,,"North York, Toronto",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,FacilityOS,85000.0,95000.0,ca,[],90000.0
,,Senior Data Analyst - Poker,"Level Up Your Career with Zynga! At Zynga, we bring people together through the power of play. As a global leader in interactive entertainment and a proud label of Take-Two Interactive, our games have been downloaded over 6 billion times—connecting players in 175 countries through fun, strategy, and a little friendly competition. From thrilling casino spins to epic strategy battles, mind-bending puzzles, and social word challenges, our diverse game portfolio has something for everyone. Fan-favo…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Zynga,96400.0,135000.0,ca,[],115700.0
,,"Senior Associate, Data Analyst","161 Bay Street (93021), Canada, Toronto,Toronto, Ontario, Senior Associate, Data Analyst About Capital One Canada For 30 years, we’ve been on a mission to change banking for good. We challenge the traditional bank stereotype, fostering a culture where innovation thrives and bold ideas are celebrated. We’re driven by what’s possible, leveraging the power of data and technology to empower innovative solutions, inspire one another to dream boldly, and take transformative ownership of decisions and…",,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Capital One,112240.0,128100.0,ca,[],120170.0
,,Healthcare Research & Data Analyst,"Clarivate provides advisory and management consulting services to industry leading and emerging pharmaceutical, biotechnology and MedTech companies. We combine deep domain expertise and data driven analysis to deliver relevant insights and customized, actionable solutions for our clients in the areas of new product planning, commercial strategy and pricing & market access. We are seeking a Healthcare Research & Data Analyst to join our team. In this role, you will support high‑impact analytical…",,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Clarivate,54400.0,68000.0,ca,[],61200.0
,,Digital Data Analyst (MarTech),"""The best prescription I've ever given is a wish.""-Dr. Jeremy Friedman, Associate Paediatrician-in-Chief, SickKids Hospital & Medical Advisor for Make-A-Wish® Canada WHAT IS YOUR BIGGEST WISH?Is it to be part of an organization that is child-focused, values employee experience and is an inspiring workplace? If so, Make-A-Wish is for you!Make-A-Wish® Canada creates life-changing wishes for children with critical illnesses. We are on a quest to bring every eligible child's wish to life because a …",,,"Ottawa, Ottawa region",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Make-A-Wish Foundation Canada,78000.0,86000.0,ca,[],82000.0
,,Staff Product Data Analyst,"About the Role Hi, I'm Aurobind, Head of IT, Systems and Data at Jane. We're rebuilding how we manage data and analytics at Jane. Our goal is to establish a trusted data foundation that powers self-service analytics, AI, and consistent business metrics across the company. This role is focused on Product Analytics—but not in the traditional sense of generating insights or building dashboards. Instead, you'll focus on building the technical foundation that enables Product teams to answer their ow…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Jane,125200.0,195600.0,ca,[],160400.0
,,Senior Financial Data Analyst,"WHAT MAKES US, US Join some of the most innovative thinkers in FinTech as we lead the evolution of financial technology. If you are an innovative, curious, collaborative person who embraces challenges and wants to grow, learn and pursue outcomes with our prestigious financial clients, say Hello to SimCorp! At its foundation, SimCorp is guided by our values — caring, customer success-driven, collaborative, curious, and courageous. Our people-centered organization focuses on skills development, r…",,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,SimCorp,88960.0,133440.0,ca,[],111200.0
,,Business Data Analyst (Contract),"Your Moneris Career - The Opportunity You will design, develop, maintain, and support reporting and analytical solutions that influence decision-making and business performance. In this role, you will leverage modern data warehousing, data transformation, and business intelligence tools to deliver actionable insights that support business operations and strategic initiatives. Contract Term: 6 months. Location: You will be based in our Toronto office, balancing in-office collaboration with remot…",,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Moneris,71000.0,100000.0,ca,[],85500.0
,,Go-To-Market Data Analyst,"Knak is a mission-driven company Why? Because our time is limited, our competition is fierce, and our margin for error is small. For us to have the greatest impact on the world, we need to be laser focused on our core mission, which is Empowering people to be creative. That’s why Knak exists. We are a world-class enterprise email and landing page creation platform with a focus on making successful and happy customers by providing them with an incredibly powerful, yet easy to use creation platfo…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Knak,120000.0,150000.0,ca,[],135000.0
,,"Data Analyst, Consumer Insights","Open Vacancy: This role is a current, active position and we are accepting applications. Company Overview Our client is an independent marketing consultancy specializing in market research, with expertise in storytelling through consumer and brand insights. They focus on key areas such as advertising effectiveness, sponsorship evaluation, and consumer behaviour analysis. By leveraging data-driven insights and strategic solutions, they help businesses and top-tier brands optimize marketing strat…",,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,AIP Connect,50000.0,65000.0,ca,[],57500.0
,,Data Analyst cum Business Analyst,"Salary : 140k CAD This is remote/ Toronto, ON Client is City National bank. Data Analyst cum Business Analyst for the SWP projects within the City National Bank CNR Wealth data program The role bridges business and engineering translating wealth management data requirements into clear buildable specifications and validating the data delivered through Azure Synapse pipelines into Salesforce You will work directly with client stakeholders and the offshore development and QA teams in a fast paced …",,,"Regent Park, City of Toronto",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Cloudious LLC,140000.0,145000.0,ca,['CRM'],142500.0
,,"Senior Data Analyst, Live Games","About Big Viking Games Big Viking Games is a Canadian gaming company focused on building, operating, and growing long-standing online game communities. Our games have entertained players for years, supported by loyal audiences, live operations, evolving content systems, product innovation, and deep player-driven economies. Our flagship titles, YoWorld and FishWorld, have served millions of players over their lifetime. These are enduring live-service virtual worlds with rich in-game economies, v…",,,"Harbourfront, City of Toronto",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Big Viking Games,100000.0,120000.0,ca,[],110000.0
